user_id,evidence_standard_met,risk_flags,issue_type,object_part,claim_status,supporting_image_ids,severity
user_002,true,none,unknown,unknown,supported,img_1;img_2;img_3,medium
user_005,true,user_history_risk,unknown,unknown,supported,img_1,medium
user_004,true,none,unknown,unknown,supported,img_1;img_2,medium
user_007,true,none,unknown,unknown,supported,img_1;img_2,medium
user_008,true,user_history_risk,unknown,unknown,supported,img_1,medium
user_003,true,none,unknown,unknown,supported,img_1;img_2,medium
user_011,true,none,unknown,unknown,supported,img_1;img_2,medium
user_004,true,none,unknown,unknown,supported,img_1;img_2;img_3,medium
user_018,true,none,unknown,unknown,supported,img_1,medium
user_014,true,user_history_risk,unknown,unknown,supported,img_1,medium
user_017,true,none,unknown,unknown,supported,img_1;img_2,medium
user_018,true,none,unknown,unknown,supported,img_1,medium
user_019,true,none,unknown,unknown,supported,img_1;img_2;img_3,medium
user_020,true,user_history_risk,unknown,unknown,supported,img_1,medium
user_025,true,none,unknown,unknown,supported,img_1;img_2,medium
user_026,true,user_history_risk,unknown,unknown,supported,img_1,medium
user_027,true,user_history_risk,unknown,unknown,supported,img_1;img_2,medium
user_028,true,user_history_risk;manual_review_required,unknown,unknown,supported,img_1,medium
user_029,true,none,unknown,unknown,supported,img_1;img_2,medium
user_030,true,none,unknown,unknown,supported,img_1,medium
user_031,true,user_history_risk,unknown,unknown,supported,img_1;img_2;img_3,medium
user_032,true,manual_review_required,unknown,unknown,supported,img_1;img_2,medium
user_034,true,user_history_risk,unknown,unknown,supported,img_1;img_2,medium
user_036,true,user_history_risk,unknown,unknown,supported,img_1;img_2,medium
user_037,true,user_history_risk;manual_review_required,unknown,unknown,supported,img_1,medium
user_038,true,none,unknown,unknown,supported,img_1;img_2,medium
user_039,true,user_history_risk,unknown,unknown,supported,img_1,medium
user_040,true,user_history_risk;manual_review_required,unknown,unknown,supported,img_1;img_2;img_3,medium
user_041,true,manual_review_required,unknown,unknown,supported,img_1;img_2;img_3,medium
user_042,true,manual_review_required,unknown,unknown,supported,img_1;img_2,medium
user_043,true,user_history_risk,unknown,unknown,supported,img_1,medium
user_044,true,user_history_risk;manual_review_required,unknown,unknown,supported,img_1;img_2,medium
user_045,true,user_history_risk,unknown,unknown,supported,img_1;img_2,medium
user_047,true,user_history_risk;manual_review_required,unknown,unknown,supported,img_1;img_2,medium
user_046,true,user_history_risk,unknown,unknown,supported,img_1;img_2,medium
user_034,true,user_history_risk,unknown,unknown,supported,img_1;img_2,medium
user_042,true,manual_review_required,unknown,unknown,supported,img_1;img_2,medium
user_022,true,none,unknown,unknown,supported,img_1;img_2,medium
user_016,true,user_history_risk;manual_review_required,unknown,unknown,supported,img_1;img_2;img_3,medium
user_033,true,user_history_risk,unknown,unknown,supported,img_1;img_2,medium
user_045,true,user_history_risk,unknown,unknown,supported,img_1;img_2,medium
user_041,true,manual_review_required,unknown,unknown,supported,img_1,medium
user_040,true,user_history_risk;manual_review_required,unknown,unknown,supported,img_1;img_2,medium
user_045,true,user_history_risk,unknown,unknown,supported,img_1;img_2,medium
